id,seed_text(prime_text),generated_text,perplexity,readability_(0-10),relevance_(R/I),difficulty_score,difficulty_label,school_grade_level,#_syllables,#_words,#_sentences,#_difficult_words,,,
-,-,"enjoy all of your favorite shows & movies on hulu. start your free trial today! live tv. hit movies. unlimited streaming. hbo. showtime. 50+ live tv channels. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,79.87,Fairly Easy,6th and 7th grade,57,42,5,10,,,
-,-,"enjoy all your favorite fs1 sports coverage live on hulu. start free trial now! all-new tv experience. 50+ top channels. hassle-free tv. no hidden fees. 24/7 coverage. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,81.49,Easy,7th and 8th grade,59,41,6,10,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 50+ top channels. hassle-free tv. watch live tv & sports. 7 day free trial. no hidden fees. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,82.41,Easy,6th and 7th grade,59,41,7,9,,,
-,-,"stream seasons 1 - 6 of nashville on hulu. sign up for 30 days free today! unlimited streaming. live tv. showtime. hbo. 50+ live tv channels. all your tv in one place. prices starting at $7.99. hit movies. showtime. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish, power, insecure, game of thrones.",-,-,-,86.91,Easy,5th and 6th grade,78,59,6,14,,,
-,-,"all your tv together in one place. stream live tv, hit shows & hulu originals! showtime. hit movies. prices starting at $7.99. all your tv in one place. live tv. 50+ live tv channels. unlimited streaming. hbo. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,88.74,Easy,6th and 7th grade,63,48,6,9,,,
-,-,"enjoy all your favorite fs1 sports coverage live on hulu. start free trial now! watch live news. no hidden fees. all-new tv experience. 50+ top channels. hassle-free tv. enhanced cloud dvr. watch live tv & sports. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,83.32,Easy,6th and 7th grade,61,45,9,8,,,
-,-,"enjoy all your favorite fox sports coverage live on hulu. start free trial now! all-new tv experience. 50+ top channels. hassle-free tv. enhanced cloud dvr. watch live news. no hidden fees. 7 day free trial. brands: fox, cbs, nbc, fx, tnt, tbs.",-,-,-,83.62,Easy,5th and 6th grade,58,42,9,9,,,
-,-,stream the top sports networks and live games on all your supported devices! live sports. nhl. golf. 50+ top channels. all-new tv experience. no hidden fees. watch live tv & sports. enhanced cloud dvr. hassle-free tv.,-,-,-,82.51,Easy,7th and 8th grade,49,35,6,8,,,
-,-,"binge this show & other hulu exclusives. sign up for a 30 day free trial today! unlimited streaming. showtime. hbo. hit movies. prices starting at $7.99. 50+ live tv channels. live tv. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace.",-,-,-,87.52,Easy,6th and 7th grade,62,46,5,11,,,
-,-,"enjoy all your favorite fox sports coverage live on hulu. start free trial now! watch live news. all-new tv experience. no hidden fees. hassle-free tv. no hidden fees. 50+ top channels. watch live news. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,83.02,Easy,6th and 7th grade,65,48,9,9,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. hbo. 50+ live tv channels. unlimited streaming. hit movies. showtime. prices starting at $7.99. all your tv in one place. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,87.52,Easy,6th and 7th grade,61,46,5,9,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! showtime. all your tv in one place. hbo. prices starting at $7.99. unlimited streaming. 50+ live tv channels. live tv. hit movies. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace.",-,-,-,86.5,Easy,6th and 7th grade,66,51,5,9,,,
-,-,all the biggest games & your hometown teams in one place. start your free trial! golf. soccer. no hidden fees. all-new tv experience. nhl. hassle-free tv. no hidden fees. live sports. 50+ top channels.,-,-,-,82.81,Easy,7th and 8th grade,47,33,6,8,,,
-,-,"cut your cable & enjoy a better live tv experience with hulu. 50+ top channels. hassle-free tv. nhl. all-new tv experience. no hidden fees. watch live tv & sports. enhanced cloud dvr. 7 day free trial. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,82.81,Easy,6th and 7th grade,63,44,8,9,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 7 day free trial. 50+ top channels. watch live tv & sports. no hidden fees. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,82.71,Easy,6th and 7th grade,55,39,7,8,,,
-,-,"stream season 7 or binge from the beginning. start your free trial today! hit movies. live tv. 50+ live tv channels. unlimited streaming. prices starting at $7.99. showtime. hbo. all your tv in one place. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,88.94,Easy,2th and 3th grade,61,47,6,10,,,
-,-,"stream seasons 1 - 6 of nashville on hulu. sign up for 30 days free! unlimited streaming. hbo. showtime. 30 day free trial. hit movies. live tv. 50+ live tv channels. all your tv in one place. current episodes next day. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,89.34,Easy,2th and 3th grade,66,52,7,11,,,
-,-,enjoy all your favorite fox sports coverage live on hulu. start free trial now! all-new tv experience. nhl. no hidden fees. 50+ top channels. no hidden fees. hassle-free tv. no hidden fees.,-,-,-,75.27,Fairly Easy,6th and 7th grade,48,32,7,7,,,
-,-,"watch the best of hbo now on hulu. start streaming all your tv in one place. showtime. hbo. hit movies. unlimited streaming. live tv. 50+ live tv channels. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,87.92,Easy,5th and 6th grade,55,44,5,9,,,
-,-,"enjoy all your favorite fs1 sports coverage live on hulu. start free trial now! watch live news. no hidden fees. 50+ top channels. all-new tv experience. no hidden fees. hassle-free tv. eprines: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,82.71,Easy,6th and 7th grade,62,45,8,9,,,
-,-,"catch up with the latess episodes or binge from the beginning - only on hulu! live tv. hbo. 50+ live tv channels. unlimited streaming. hit movies. prices starting at $7.99. showtime. all your tv in one place. hbo. shows: grey's anatomy, rick and morty, this is us, empire, power.",-,-,-,87.11,Easy,3th and 4th grade,64,48,5,10,,,
-,-,watch showtime's the best of hit movies & shows  award-winning originals. all your tv in one place. unlimited streaming. hit movies.,-,-,-,61.33,Standard,7th and 8th grade,31,20,2,5,,,
-,-,"stream seasons 1 - 6 of nashville on hulu. sign up for 30 days free today! unlimited streaming. hit movies. live tv. showtime. all your tv in one place. 50+ live tv channels. hbo. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,88.53,Easy,7th and 8th grade,63,49,6,11,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. showtime. hit movies. prices starting at $7.99. unlimited streaming. hbo. all your tv in one place. 50+ live tv channels. shows: grey's anatomy, rick and morty, this is us, empire, power.",-,-,-,87.31,Easy,6th and 7th grade,63,47,5,10,,,
-,-,"watch the best of hbo now on hulu. start streaming all your tv in one place. hbo. showtime. unlimited streaming. hit movies. prices starting at $7.99. showtime. live tv. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,86.91,Easy,5th and 6th grade,50,39,4,8,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. hbo. showtime. 50+ live tv channels. all your tv in one place. hit movies. unlimited streaming. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,87.11,Easy,3th and 4th grade,63,48,5,9,,,
-,-,"stream seasons 1 - 6 of nashville on hulu. sign up for 30 days free today! hit movies. live tv. showtime. unlimited streaming. hbo. all your tv in one place. 50+ live tv channels. current episodes next day. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,88.94,Easy,7th and 8th grade,61,47,6,11,,,
-,-,"cut your cable & enjoy a better live tv experience with hulu. 50+ top channels. hassle-free tv. enhanced cloud dvr. watch live tv & sports. 7 day free trial. all-new tv experience. no hidden fees. brands: hbo, fs1, cbs, fx, cnn international.",-,-,-,66.4,Standard,7th and 8th grade,63,40,8,10,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. showtime. hit movies. all your tv in one place. prices starting at $7.99. 50+ live tv channels. unlimited streaming. hbo. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, power.",-,-,-,86.3,Easy,6th and 7th grade,68,52,5,10,,,
-,-,a dve tv watch now series on hulu. start your free trial now!,-,-,-,98.72,Very Easy,1th and 2th grade,16,13,2,3,,,
-,-,watch the mindy project from beginning. try free for 30 days! showtime. hbo. prices starting at $7.99. hit movies. live tv.,-,-,-,98.21,Very Easy,5th and 6th grade,25,21,3,3,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. hbo. showtime. 50+ live tv channels. unlimited streaming. prices starting at $7.99. all your tv in one place. hit movies. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,87.52,Easy,6th and 7th grade,61,46,5,9,,,
-,-,"catch all your favorite tennis action in one place. start your free trial! no hidden fees. all-new tv experience. soccer. nhl. live sports. 50+ top channels. golf. hassle-free tv. no hidden fees. live sports. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,89.85,Easy,5th and 6th grade,64,48,7,9,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. hbo. showtime. unlimited streaming. 50+ live tv channels. all your tv in one place. hit movies. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,87.11,Easy,3th and 4th grade,63,48,5,9,,,
-,-,"stream seasons 1 - 6 of nashville on hulu. sign up for 30 days free today! hbo. showtime. unlimited streaming. live tv. 50+ live tv channels. all your tv in one place. hit movies. prices starting at $7.99. showtime. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,88.43,Easy,7th and 8th grade,65,50,6,11,,,
-,-,"catch up with the latest episodes. sign up today for your hulu free trial! showtime. hbo. prices starting at $7.99. unlimited streaming. hit movies. all your tv in one place. 50+ live tv channels. live tv. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,89.04,Easy,2th and 3th grade,59,46,6,10,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. hbo. 50+ live tv channels. unlimited streaming. hit movies. prices starting at $7.99. showtime. all your tv in one place. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,87.11,Easy,3th and 4th grade,63,48,5,9,,,
-,-,"stream seasons 1 - 6 of nashville on hulu. sign up for 30 days free today! unlimited streaming. hbo. showtime. live tv. 50+ live tv channels. all your tv in one place. hit movies. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,88.94,Easy,7th and 8th grade,61,47,6,11,,,
-,-,cut your cable & enjoy a better live tv experience with hulu. 50+ top channels. nhl. hassle-free tv. enhanced cloud dvr. watch live tv & sports.,-,-,-,73.85,Fairly Easy,7th and 8th grade,37,24,4,6,,,
-,-,"all your tv together in one place. choose the plan for a u ard free trial today! 50+ top channels. watch live tv & sports. 7 day free trial. enhanced cloud dvr. all-new tv experience. no hidden fees. hassle-free tv. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,91.37,Very Easy,1th and 2th grade,64,49,9,8,,,
-,-,"enjoy your favorite fx shows live on hulu. start your free trial now! enhanced cloud dvr. 50+ top channels. hassle-free tv. no hidden fees. all-new tv experience. no hidden fees. watch live tv & sports. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,83.02,Easy,6th and 7th grade,65,48,9,9,,,
-,-,enjoy all of your favorite shows & movies on hulu. start your free trial! 50+ top channels. enhanced cloud dvr. watch live tv & sports. all-new tv experience. no hidden fees. hassle-free tv. no hidden fees.,-,-,-,75.57,Fairly Easy,6th and 7th grade,50,34,8,7,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! showtime. hit movies. all your tv in one place. live tv. 50+ live tv channels. unlimited streaming. prices starting at $7.99. hbo. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish, power, insecure, game of thrones.",-,-,-,85.28,Easy,7th and 8th grade,76,57,5,12,,,
-,-,"all your tv together in one place. choose the plan for you and try 30 days free! all your tv in one place. hbo. showtime. 30 day free trial. 50+ live tv channels. unlimited streaming. current episodes next day. live tv. showtime. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish, power, insecure, game of thrones.",-,-,-,87.72,Easy,6th and 7th grade,80,63,7,11,,,
-,-,"enjoy all your favorite fox sports coverage live on hulu. start free trial! no hidden fees. all-new tv experience. nhl. 50+ top channels. hassle-free tv. nhl. live sports. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,81.29,Easy,5th and 6th grade,58,42,6,9,,,
-,-,"catch all your favorite tennis action in one place. start your free trial! live sports. no hidden fees. all-new tv experience. nhl. hassle-free tv. no hidden fees. live sports. 50+ top channels. golf. no hidden fees. soccer. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports.",-,-,-,90.46,Very Easy,5th and 6th grade,67,50,8,9,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! showtime. all your tv in one place. hit movies. prices starting at $7.99. 50+ live tv channels. live tv. unlimited streaming. hbo. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,87.52,Easy,6th and 7th grade,61,46,5,9,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! showtime. all your tv in one place. hit movies. live tv. prices starting at $7.99. unlimited streaming. hbo. 50+ live tv channels. shows: grey's anatomy, rick and morty, this is us, empire, the voice, black-ish.",-,-,-,86.91,Easy,6th and 7th grade,65,49,5,10,,,
-,-,watch the best of food network & hgtv now on hulu. try a 30 day free trial! hit movies. showtime. hbo. unlimited streaming. 50+ live tv channels. live tv.,-,-,-,78.96,Fairly Easy,4th and 5th grade,38,28,3,7,,,
-,-,"a tv experience like no other. discover hulu's collection of movies & shows! 30 day free trial. showtime. all your tv in one place. 50+ live tv channels. unlimited streaming. hit movies. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,73.03,Fairly Easy,8th and 9th grade,60,41,6,11,,,
-,-,catch up on seasons 1 - of the last ship on hulu. subscribe to watch now!,-,-,-,89.24,Easy,2th and 3th grade,19,15,2,3,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! watch live tv & sports. 50+ top channels. no hidden fees. 7 day free trial. hassle-free tv. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports.",-,-,-,73.03,Fairly Easy,8th and 9th grade,60,41,6,11,,,
-,-,"enjoy all your favorite fox sports coverage live on hulu. start free trial now! watch live news. all-new tv experience. no hidden fees. 50+ top channels. hassle-free tv. no hidden fees. watch live news. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,83.02,Easy,6th and 7th grade,65,48,9,9,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! showtime. hbo. 50+ live tv channels. unlimited streaming. live tv. all your tv in one place. hit movies. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,87.11,Easy,3th and 4th grade,63,48,5,9,,,
-,-,"stream the entire season from the beginning - only on hulu! hbo. prices starting at $7.99. live tv. showtime. 50+ live tv channels. unlimited streaming. hbo. all your tv in one place. hit movies. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace.",-,-,-,87.11,Easy,6th and 7th grade,64,48,5,9,,,
-,-,"enjoy all your favorite fs1 sports coverage live on hulu. start free trial now! all-new tv experience. 50+ top channels. hassle-free tv. no hidden fees. watch live news. no hidden fees. 7 day free trial. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,83.32,Easy,5th and 6th grade,61,45,9,8,,,
-,-,"enjoy all your favorite fs1 sports coverage live on hulu. start free trial now! all-new tv experience. no hidden fees. 50+ top channels. no hidden fees. watch live tv & sports. hassle-free tv. no hidden fees. brands: fox, cbs, nbc, fx, tnt, tbs, hgtv, freeform, fower.",-,-,-,83.32,Easy,6th and 7th grade,63,45,9,8,,,
-,-,"current hbo episodes, past seasons and hit movies. add hbo on hulu now. hit movies. prices starting at $7.99. live tv. unlimited streaming. all your tv in one place. showtime. hbo. 50+ live tv channels. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,88.94,Easy,5th and 6th grade,59,47,6,10,,,
-,-,"start your 30 day trial and watch great exclusives and originals only on hulu! live tv. hbo. showtime. all your tv in one place. 50+ live tv channels. unlimited streaming. prices starting at $7.99. hit movies. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,87.52,Easy,7th and 8th grade,62,46,5,11,,,
-,-,"current hbo episodes, past seasons and hit movies. add hbo on hulu now. showtime. hbo. prices starting at $7.99.",-,-,-,90.46,Very Easy,4th and 5th grade,24,19,3,5,,,
-,-,"live tv & streaming in one place with hulu. start your free trial today! 7 day free trial. enhanced cloud dvr. 50+ top channels. watch live tv & sports. all-new tv experience. no hidden fees. hassle-free tv. brands: hbo, fs1, cbs, fx, cnn international.",-,-,-,75.16,Fairly Easy,6th and 7th grade,62,42,9,11,,,
-,-,"enjoy all your favorite espnu sports coverage live on hulu. start free trial now! all-new tv experience. 50+ top channels. hassle-free tv. no hidden fees. watch live news. no hidden fees. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,83.22,Easy,6th and 7th grade,58,41,8,8,,,
-,-,"enjoy all your favorite fs1 sports coverage live on hulu. start free trial now! all-new tv experience. 50+ top channels. no hidden fees. hassle-free tv. no hidden fees. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,82.31,Easy,7th and 8th grade,59,42,7,9,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. showtime. all your tv in one place. hit movies. 50+ live tv channels. prices starting at $7.99. hbo. unlimited streaming. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,87.11,Easy,3th and 4th grade,63,48,5,9,,,
-,-,stream the top sports networks and live games on all your sppponted devices. enhanced cloud dvr. watch live tv & sports. 50+ top channels. all-new tv experience. no hidden fees. 7 day free trial. no hidden fees. watch live tv & sports. no hidden fees. hassle-free tv.,-,-,-,83.83,Easy,6th and 7th grade,63,45,10,9,,,
-,-,"binge this show & other hulu exclusives. sign up for a 30 day free trial today! hit movies. showtime. hbo. 50+ live tv channels. unlimited streaming. live tv. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire, the voice, black-ish.",-,-,-,79.46,Fairly Easy,6th and 7th grade,61,44,5,12,,,
-,-,"watch the biggest hbo hit movies. sign up for a 30 day free trial today! hbo. showtime. live tv. 50+ live tv channels. unlimited streaming. hit movies. all your tv in one place. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,96.99,Very Easy,7th and 8th grade,61,49,6,10,,,
-,-,stream season 7 or binge from the beginning. sign up for hbo on hulu today! hit movies. prices starting at $7.99.,-,-,-,89.75,Easy,2th and 3th grade,27,21,3,4,,,
-,-,"start your 30 day trial and watch great exclusives and originals only on hulu! live tv. hit movies. prices starting at $7.99. all your tv in one place. showtime. 50+ live tv channels. hbo. unlimited streaming. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,87.11,Easy,7th and 8th grade,64,48,5,11,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! watch live tv & sports. 50+ top channels. hassle-free tv. 7 day free trial. no hidden fees. watch live tv & sports. brands: hbo, fs1, cbs, fx, cnn international.",-,-,-,65.79,Standard,7th and 8th grade,61,39,7,10,,,
-,-,"enjoy all your favorite fs1 sports coverage live on hulu. start free trial! no hidden fees. all-new tv experience. 50+ top channels. hassle-free tv. live sports. nhl. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,81.49,Easy,5th and 6th grade,57,41,6,9,,,
-,-,"enjoy your favorite fox shows live on hulu. start your free trial now! watch live tv & sports. enhanced cloud dvr. hassle-free tv. 7 day free trial. no hidden fees. 50+ top channels. all-new tv experience. no hidden fees. brands: fox, cbs, nbc, fx, tnt, tbs, hgtv, freeform, lifetime, telemundo.",-,-,-,83.42,Easy,6th and 7th grade,69,49,10,10,,,
-,-,"cut your cable & enjoy a better live tv experience with hulu. hassle-free tv. enhanced cloud dvr. watch live tv & sports. all-new tv experience. 50+ top channels. no hidden fees. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,74.25,Fairly Easy,6th and 7th grade,57,39,7,8,,,
-,-,enjoy all your favorite espn2 sports coverage live on hulu. start free trial now! all-new tv experience. no hidden fees. 50+ top channels.,-,-,-,66.81,Standard,8th and 9th grade,37,23,5,7,,,
-,-,"current hbo episodes, past seasons and hit movies. add hbo on hulu now. hbo. prices starting at $7.99. live tv. unlimited streaming. showtime. hit movies. all your tv in one place. 50+ live tv channels. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,88.94,Easy,5th and 6th grade,59,47,6,10,,,
-,-,start your 30 day trial and watch great exclusives and originals only on hulu! showtime. all your tv in one place. live tv. hit movies. prices starting at $7.99. unlimited streaming. hbo.,-,-,-,77.53,Fairly Easy,8th and 9th grade,45,32,3,8,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! showtime. hbo. 50+ live tv channels. all your tv in one place. unlimited streaming. hit movies. live tv. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,85.69,Easy,6th and 7th grade,58,44,4,8,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! watch live tv & sports. 7 day free trial. 50+ top channels. hassle-free tv. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,72.83,Fairly Easy,8th and 9th grade,51,35,5,9,,,
-,-,enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 50+ top channels. hassle-free tv. watch live tv & sports.,-,-,-,56.93,Fairly Difficult,6th and 7th grade,40,24,4,8,,,
-,-,"enjoy all your favorite fox sports coverage live on hulu. start free trial now! all-new tv experience. no hidden fees. 50+ top channels. no hidden fees. hassle-free tv. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,82.31,Easy,7th and 8th grade,59,42,7,9,,,
-,-,"catch up with the latest episodes. sign up today for your hulu free trial! showtime. hit movies. hbo. prices starting at $7.99. unlimited streaming. 50+ live tv channels. all your tv in one place. live tv. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,88.74,Easy,7th and 8th grade,61,48,6,10,,,
-,-,"enjoy your favorite fx shows live on hulu. start your free trial today! hassle-free tv. watch live tv & sports. enhanced cloud dvr. 50+ top channels. no hidden fees. 7 day free trial. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,91.48,Very Easy,1th and 2th grade,54,42,8,7,,,
-,-,"start your 30 day trial and watch great exclusives and originals only on hulu! live tv. showtime. all your tv in one place. unlimited streaming. hbo. 50+ live tv channels. prices starting at $7.99. hit movies. shows: grey's anatomy, rick and morty, this is us,",-,-,-,87.72,Easy,7th and 8th grade,60,45,5,10,,,
-,-,empire.,-,-,-,36.62,Difficult,11th and 12th grade,2,1,1,1,,,
-,-,"catch up with the latest episodes. sign up today for your hulu free trial! showtime. hit movies. prices starting at $7.99. hbo. unlimited streaming. all your tv in one place. live tv. 50+ live tv channels. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace.",-,-,-,88.23,Easy,5th and 6th grade,64,51,6,10,,,
-,-,"experience 50+ live & on demand channels + hulus huge streaming library. watch live tv & sports. 50+ top channels. no hidden fees. 7 day free trial. enhanced cloud dvr. all-new tv experience. no hidden fees. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,75.06,Fairly Easy,6th and 7th grade,63,43,9,11,,,
-,-,"enjoy all your favorite fsx sports coverage live on hulu. start free trial now! watch live news. no hidden fees. 50+ top channels. all-new tv experience. no hidden fees. watch live tv & sports. enhanced cloud dvr. hassle-free tv. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,83.12,Easy,6th and 7th grade,71,52,10,10,,,
-,-,"catch up with the latest episodes. sign up today for your hulu free trial! showtime. unlimited streaming. prices starting at $7.99. hbo. all your tv in one place. 50+ live tv channels. live tv. showtime. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,89.24,Easy,5th and 6th grade,59,45,6,10,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! showtime. hbo. 50+ live tv channels. unlimited streaming. hbo. hit movies. live tv. all your tv in one place. prices starting at $7.99. shows: grey's anatomy, rick and morty, this is us, empire.",-,-,-,87.31,Easy,6th and 7th grade,62,47,5,9,,,
-,-,"catch up with the latest episodes or binge from the beginning - only on hulu! live tv. hit movies. prices starting at $7.99. unlimited streaming. hbo. 50+ live tv channels. all your tv in one place. showtime. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,87.11,Easy,3th and 4th grade,63,48,5,9,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 50+ top channels. hassle-free tv. 7 day free trial. watch live tv & sports. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,82,Easy,7th and 8th grade,55,38,6,9,,,
-,-,"start your 30 day trial and watch great exclusives and originals only on hulu! live tv. hbo. showtime. all your tv in one place. 50+ live tv channels. unlimited streaming. hit movies. shows: grey's anatomy, rick and morty, this is us, empire, the voice, will and grace, black-ish, power, insecure.",-,-,-,75.71,Fairly Easy,8th and 9th grade,69,50,4,13,,,
-,-,"enjoy all your favorite fox sports coverage live on hulu. start free trial now! all-new tv experience. no hidden fees. 50+ top channels. hassle-free tv. nhl. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,81.59,Easy,7th and 8th grade,56,40,6,9,,,
-,-,catch up with the latest episodes or binge from the beginning - only on hulu! live tv. showtime.,-,-,-,71.14,Fairly Easy,7th and 8th grade,24,17,1,3,,,
-,-,"enjoy an all-new tv experience with personalized profiles and custom tv lineups! no hidden fees. 7 day free trial. watch live tv & sports. 50+ top channels. hassle-free tv. brands: btn, abc, tnt, espn, cbs sports, fox, nbcsn, nbc golf, fox sports, fs1.",-,-,-,72.83,Fairly Easy,8th and 9th grade,61,42,6,11,,,
-,-,"enjoy all your favorite fs1 sports coverage live on hulu. start free trial now! watch live news. all-new tv experience. no hidden fees. 50+ top channels. no hidden fees. watch live tv & sports. enhanced cloud dvr. 7 day free trial. brands: fx, cbs, hgtv, epix, abc, cnn, nbc, e!, usa.",-,-,-,92.29,Very Easy,5th and 6th grade,66,50,11,8,,,
-,-,start your 30 day trial and watch great exclusives and originals only on hulu! live tv. hit movies. all your tv in one place. showtime. hbo. 50+ live tv channels. unlimited streaming.,-,-,-,77.53,Fairly Easy,8th and 9th grade,45,32,3,8,,,
-,-,"all your tv together in one place. stream live tv, hit shows & hulu originals! showtime. hbo. prices starting at $7.99. hit movies. all your tv in one place. 50+ live tv channels. unlimited streaming. live tv. shows: grey's anatomy, rick and morty, this is us, empire, the voice.",-,-,-,88.74,Easy,6th and 7th grade,63,48,6,9,,,
